category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Land;Monument or Historical Building;955592570342;Used for Operations;Sports Facilities (e.g., stadium, sports field);Well Maintained;Kalimantan Selatan;Kabupaten Hulu Sungai Selatan;-2.7662681;115.2363408;2021;0
Building;Sports Facilities (Stadium, Sports Field);1394439477834;Used by Other Parties;Plantation Land;Needs Repair;Kalimantan Selatan;Kabupaten Hulu Sungai Tengah;-2.6153162;115.5207358;2021;0
Building;Monument or Historical Building;674962760913;Used for Functional Vehicles;Government Office Building;Well Maintained;Kalimantan Selatan;Kabupaten Hulu Sungai Utara;-2.4421225;115.188916;2021;0
Building;Warehouse/Logistics;907319210746;Used for Operations;Warehouse/Logistics;Severely Damaged;Kalimantan Selatan;Kabupaten Tabalong;-1.864302;115.5681084;2021;0
Land;Unused Vacant Land;826462563536;Used by Other Parties;Government Office Building;Needs Repair;Kalimantan Selatan;Kabupaten Tanah Bumbu;-3.4512244;115.5681084;2021;0
Building;Agricultural Land;527429428364;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Needs Repair;Kalimantan Selatan;Kabupaten Balangan;-2.3260425;115.6154732;2021;0
Building;Hospital/Clinic;658329450487;Not Yet Used;Agricultural Land;Well Maintained;Kalimantan Selatan;Kota Banjarmasin;-3.328499;114.589203;2021;98749417573
Land;Agricultural Land;931889598694;Used According to Procedure;Monument or Historical Building;Severely Damaged;Kalimantan Selatan;Kota Banjar Baru;-3.4666667;114.75;2021;0
Land;Plantation Land;1289049624899;Used by Other Parties;Plantation Land;Well Maintained;Kalimantan Timur;Kabupaten Paser;-1.7175266;115.9467997;2021;0
Building;Public Facilities (Park, Field);752352811200;Not Used/Abandoned;Agricultural Land;Needs Repair;Kalimantan Timur;Kabupaten Kutai Barat;0.1353881;115.094045;2021;90282337344
Land;Official Residence;1110203633383;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Well Maintained;Kalimantan Timur;Kabupaten Kutai Kartanegara;-0.1336655;116.6081653;2021;0
Land;Warehouse/Logistics;888664345823;Used by Other Parties;Warehouse/Logistics;Severely Damaged;Kalimantan Timur;Kabupaten Kutai Timur;0.9433774;116.9852422;2021;0
Building;School/University Building;1067606993137;Used According to Procedure;Agricultural Land;Needs Repair;Kalimantan Timur;Kabupaten Berau;2.0450883;117.3616476;2021;0
Land;Unused Vacant Land;939275797012;Used by Other Parties;Government Office Building;Needs Repair;Kalimantan Utara;Kabupaten Malinau;3.584221;116.647797;2021;0
Building;Public Facilities (Park, Field);1238654768610;Used According to Procedure;Government Office Building;Needs Repair;Kalimantan Utara;Kabupaten Bulungan;2.9042476;116.9852422;2021;0
Building;Sports Facilities (Stadium, Sports Field);849612891085;Not Used/Abandoned;Hospital/Clinic;Needs Repair;Kalimantan Utara;Kabupaten Nunukan;4.0609227;117.666952;2021;93457418019
Building;Government Office Building;1447690025299;Used According to Procedure;Public Facilities (e.g., park, field);Slightly Damaged;Kalimantan Timur;Kabupaten Penajam Paser Utara;-1.2917094;116.5137964;2021;0
Building;Sports Facilities (Stadium, Sports Field);1000691738861;Not Yet Used;School/University Building;Slightly Damaged;Kalimantan Utara;Kabupaten Tana Tidung;3.551869;117.0794082;2021;130089926052
Building;Monument or Historical Building;672853897280;Not Used/Abandoned;Agricultural Land;Slightly Damaged;Kalimantan Timur;Kota Balikpapan;-1.2635389;116.8278833;2021;100928084592
Building;Unused Vacant Land;1157685756501;Used for Operations;Infrastructure (e.g., bridges, roads);Well Maintained;Kalimantan Timur;Kota Samarinda;-0.502183;117.153801;2021;0
Building;Sports Facilities (Stadium, Sports Field);883390078297;Used for Functional Vehicles;Government Office Building;Severely Damaged;Kalimantan Utara;Kota Tarakan;3.3;117.6333333;2021;0
Building;Unused Vacant Land;548524569097;Not Used/Abandoned;Public Facilities (e.g., park, field);Needs Repair;Kalimantan Timur;Kota Bontang;0.1333333;117.5;2021;76793439674
Land;Plantation Land;814283679219;Used According to Procedure;Infrastructure (e.g., bridges, roads);Severely Damaged;Sulawesi Utara;Kabupaten Bolaang Mongondow;0.6870994;124.0641419;2021;0
Building;School/University Building;1339828591293;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Sulawesi Utara;Kabupaten Minahasa;1;124.5833333;2021;160779430955
Land;Public Facilities (Park, Field);977142727667;Used for Operations;Hospital/Clinic;Severely Damaged;Sulawesi Utara;Kabupaten Kepulauan Sangihe;3.5303212;125.5438967;2021;0
Building;Government Office Building;900965647956;Used According to Procedure;Hospital/Clinic;Slightly Damaged;Sulawesi Utara;Kabupaten Kepulauan Talaud;4.092;126.768;2021;0
Land;Hospital/Clinic;1403531843753;Not Yet Used;Government Office Building;Slightly Damaged;Sulawesi Utara;Kabupaten Minahasa Selatan;1.0946773;124.4641848;2021;140353184375
Building;Public Facilities (Park, Field);1121259168672;Not Yet Used;Agricultural Land;Needs Repair;Sulawesi Utara;Kabupaten Minahasa Utara;1.5327973;124.994751;2021;112125916867
Building;School/University Building;844437952930;Not Yet Used;Monument or Historical Building;Slightly Damaged;Sulawesi Utara;Kabupaten Bolaang Mongondow Utara;0.818691;123.5280072;2021;84443795293
Building;School/University Building;1048123420977;Not Used/Abandoned;Plantation Land;Needs Repair;Sulawesi Utara;Kabupaten Siau Tagulandang Biaro;2.345964;125.4124355;2021;125774810517
Land;Warehouse/Logistics;917930313922;Not Yet Used;Plantation Land;Slightly Damaged;Sulawesi Utara;Kabupaten Minahasa Tenggara;1.0278551;124.7298765;2021;137689547088
Building;Public Facilities (Park, Field);816722190231;Used for Operations;Sports Facilities (e.g., stadium, sports field);Well Maintained;Sulawesi Utara;Kota Manado;1.4917014;124.842843;2021;0
Land;Plantation Land;1098550744609;Used by Other Parties;Plantation Land;Needs Repair;Sulawesi Utara;Kota Bitung;1.4553529;125.204697;2021;0
Building;Agricultural Land;1471097162954;Not Used/Abandoned;Plantation Land;Severely Damaged;Sulawesi Utara;Kota Tomohon;1.3234131;124.8384504;2021;220664574443
Land;Monument or Historical Building;878946096112;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Needs Repair;Sulawesi Utara;Kota Kotamobagu;0.7333333;124.3166667;2021;0
Land;Hospital/Clinic;548153945777;Used According to Procedure;School/University Building;Needs Repair;Sulawesi Tengah;Kabupaten Banggai Kepulauan;-1.6408137;123.5504076;2021;0
Building;Unused Vacant Land;854021427947;Used by Other Parties;Hospital/Clinic;Severely Damaged;Sulawesi Tengah;Kabupaten Banggai;-1.6408137;123.5504076;2021;0
Land;Official Residence;718410549934;Used for Operations;Public Facilities (e.g., park, field);Well Maintained;Sulawesi Tengah;Kabupaten Morowali;-2.3003072;121.5370003;2021;0
Building;Official Residence;835099774185;Used for Operations;Public Facilities (e.g., park, field);Slightly Damaged;Sulawesi Tengah;Kabupaten Poso;-1.391922;120.766998;2021;0
Building;Hospital/Clinic;1000983898219;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Sulawesi Tengah;Kabupaten Donggala;-0.4233155;119.8352303;2021;0
Building;Public Facilities (Park, Field);569507799207;Not Used/Abandoned;Monument or Historical Building;Slightly Damaged;Sulawesi Tengah;Kabupaten Toli-Toli;0.8768231;120.7579834;2021;85426169881
Building;Monument or Historical Building;588095877424;Used for Functional Vehicles;Hospital/Clinic;Well Maintained;Sulawesi Tengah;Kabupaten Buol;0.9695452;121.3541631;2021;0
Building;Sports Facilities (Stadium, Sports Field);1055477657664;Not Yet Used;School/University Building;Slightly Damaged;Sulawesi Tengah;Kabupaten Parigi Moutong;0.5817607;120.8039474;2021;126657318920
Building;Public Facilities (Park, Field);1360384856288;Used by Other Parties;Agricultural Land;Severely Damaged;Sulawesi Tengah;Kabupaten Tojo Una-Una;-1.098757;121.5370003;2021;0
Building;Public Facilities (Park, Field);959298287435;Used for Operations;Government Office Building;Well Maintained;Sulawesi Tengah;Kota Palu;-0.898583;119.850601;2021;0
Building;Unused Vacant Land;681559680725;Used by Other Parties;School/University Building;Slightly Damaged;Sulawesi Selatan;Kabupaten Selayar;-6;120.5;2021;0
Land;Government Office Building;1418738821149;Not Used/Abandoned;Hospital/Clinic;Well Maintained;Sulawesi Selatan;Kabupaten Bulukumba;-5.4329368;120.2051096;2021;212810823172
Land;Monument or Historical Building;1137871306432;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Needs Repair;Sulawesi Selatan;Kabupaten Bantaeng;-5.5169316;120.0202964;2021;0
Building;Warehouse/Logistics;1125357238200;Not Yet Used;Public Facilities (e.g., park, field);Well Maintained;Sulawesi Selatan;Kabupaten Jeneponto;-5.554579;119.6730939;2021;157550013348
Land;Sports Facilities (Stadium, Sports Field);1289168685375;Used by Other Parties;Agricultural Land;Needs Repair;Sulawesi Selatan;Kabupaten Takalar;-5.4162493;119.4875668;2021;0
Land;Hospital/Clinic;1009467039444;Used According to Procedure;Sports Facilities (e.g., stadium, sports field);Well Maintained;Sulawesi Selatan;Kabupaten Gowa;-5.3102888;119.742604;2021;0
Land;Hospital/Clinic;1388720426485;Used for Functional Vehicles;Plantation Land;Needs Repair;Sulawesi Selatan;Kabupaten Sinjai;-5.2171961;120.112735;2021;0
Building;Government Office Building;797355383699;Not Yet Used;Public Facilities (e.g., park, field);Needs Repair;Sulawesi Selatan;Kabupaten Maros;-4.94695;119.578903;2021;103656199881
Land;Plantation Land;1427017053829;Not Yet Used;Hospital/Clinic;Needs Repair;Sulawesi Selatan;Kabupaten Pangkajene Dan Kepulauan;-4.805035;119.5571677;2021;156971875921
Land;School/University Building;707936020611;Not Used/Abandoned;Monument or Historical Building;Slightly Damaged;Sulawesi Selatan;Kabupaten Barru;-4.4172651;119.6730939;2021;77872962267
Land;Warehouse/Logistics;656731845334;Used According to Procedure;Infrastructure (e.g., bridges, roads);Severely Damaged;Sulawesi Selatan;Kabupaten Bone;-2.083333;120.216667;2021;0
Building;Unused Vacant Land;778229495695;Not Yet Used;School/University Building;Slightly Damaged;Sulawesi Selatan;Kabupaten Soppeng;-4.3518541;119.9277947;2021;101169834440
Building;Unused Vacant Land;786225140059;Used for Operations;Agricultural Land;Severely Damaged;Sulawesi Selatan;Kabupaten Wajo;-4.022229;120.0665236;2021;0
Land;Official Residence;966422110035;Not Yet Used;Infrastructure (e.g., bridges, roads);Well Maintained;Sulawesi Selatan;Kabupaten Sidenreng Rappang;-3.7738981;120.0202964;2021;144963316505
Building;School/University Building;606537578775;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Needs Repair;Sulawesi Selatan;Kabupaten Pinrang;-3.793071;119.6408;2021;0
Building;Monument or Historical Building;1384600984197;Not Used/Abandoned;Public Facilities (e.g., park, field);Well Maintained;Sulawesi Selatan;Kabupaten Enrekang;-3.563128;119.7612;2021;152306108262
Land;Hospital/Clinic;1448143347461;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Needs Repair;Sulawesi Selatan;Kabupaten Luwu;-3.3052214;120.2512728;2021;0
Building;Hospital/Clinic;624577087490;Used by Other Parties;Infrastructure (e.g., bridges, roads);Slightly Damaged;Sulawesi Selatan;Kabupaten Tana Toraja;-3.0753003;119.742604;2021;0
Building;Sports Facilities (Stadium, Sports Field);1129357350823;Used According to Procedure;Warehouse/Logistics;Severely Damaged;Sulawesi Selatan;Kabupaten Luwu Utara;-2.2690446;119.9740534;2021;0
Building;Unused Vacant Land;1126714143922;Not Yet Used;School/University Building;Well Maintained;Sulawesi Selatan;Kabupaten Luwu Timur;-2.5825518;121.1710389;2021;123938555831
Land;School/University Building;783912047573;Not Used/Abandoned;Warehouse/Logistics;Slightly Damaged;Sulawesi Selatan;Kota Makassar;-5.1333333;119.4166667;2021;117586807136
Land;Plantation Land;1390280514065;Not Used/Abandoned;Monument or Historical Building;Needs Repair;Sulawesi Selatan;Kota Pare-Pare;-4.0166667;119.6236111;2021;180736466828
Building;Public Facilities (Park, Field);1147432786535;Used for Functional Vehicles;Warehouse/Logistics;Needs Repair;Sulawesi Selatan;Kota Palopo;-3;120.2;2021;0
Land;Government Office Building;749125530091;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Needs Repair;Sulawesi Tenggara;Kabupaten Buton;-5.3096355;122.9888319;2021;0
Land;Monument or Historical Building;1084785183870;Not Used/Abandoned;Public Facilities (e.g., park, field);Severely Damaged;Sulawesi Tenggara;Kabupaten Muna;-4.901629;122.6277455;2021;119326370226
Building;Public Facilities (Park, Field);791000265442;Not Yet Used;Government Office Building;Well Maintained;Sulawesi Tenggara;Kabupaten Konawe;-3.9380432;122.0837445;2021;79100026544
Building;School/University Building;653755285343;Used by Other Parties;Public Facilities (e.g., park, field);Slightly Damaged;Sulawesi Tenggara;Kabupaten Kolaka;-4.049665;121.593803;2021;0
Land;Unused Vacant Land;842218505989;Used for Operations;Sports Facilities (e.g., stadium, sports field);Well Maintained;Sulawesi Tenggara;Kabupaten Konawe Selatan;-4.2027915;122.4467238;2021;0
Building;Agricultural Land;1031657550999;Used According to Procedure;Monument or Historical Building;Well Maintained;Sulawesi Tenggara;Kabupaten Bombana;-4.6543462;121.9017954;2021;0
Land;Agricultural Land;1141400534142;Not Yet Used;Public Facilities (e.g., park, field);Well Maintained;Sulawesi Tenggara;Kabupaten Wakatobi;-5.3264442;123.5951925;2021;148382069438
Land;Official Residence;1325625019175;Used for Operations;School/University Building;Severely Damaged;Sulawesi Tenggara;Kabupaten Kolaka Utara;-3.1347227;121.1710389;2021;0
Land;Warehouse/Logistics;1164650160891;Not Yet Used;Plantation Land;Well Maintained;Sulawesi Tenggara;Kabupaten Buton Utara;-4.7023424;123.0338767;2021;116465016089
Building;Monument or Historical Building;793857042605;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Well Maintained;Sulawesi Tenggara;Kabupaten Konawe Utara;-3.3803291;122.0837445;2021;87324274687
Building;Unused Vacant Land;826931899982;Used According to Procedure;Plantation Land;Severely Damaged;Sulawesi Tenggara;Kota Kendari;-3.972201;122.5149028;2021;0
Building;Unused Vacant Land;1048688640668;Used by Other Parties;Agricultural Land;Needs Repair;Sulawesi Tenggara;Kota Bau-Bau;-5.46667;122.633;2021;0
Land;Public Facilities (Park, Field);1334812137761;Used by Other Parties;Agricultural Land;Slightly Damaged;Gorontalo;Kabupaten Boalemo;0.7013419;122.2653887;2021;0
Land;Public Facilities (Park, Field);1016714185484;Used According to Procedure;Monument or Historical Building;Needs Repair;Gorontalo;Kabupaten Gorontalo;0.5333333;123.0666667;2021;0
Land;Warehouse/Logistics;1252865235040;Used According to Procedure;Agricultural Land;Slightly Damaged;Gorontalo;Kabupaten Pohuwato;0.7055278;121.7195459;2021;0
Land;Unused Vacant Land;1063656010151;Used by Other Parties;Government Office Building;Needs Repair;Gorontalo;Kabupaten Bone Bolango;0.5657885;123.3486147;2021;0
Building;Public Facilities (Park, Field);1137523474363;Not Used/Abandoned;Hospital/Clinic;Slightly Damaged;Gorontalo;Kabupaten Gorontalo Utara;0.9252647;122.4920088;2021;136502816924
Building;Monument or Historical Building;1347784134647;Used by Other Parties;Infrastructure (e.g., bridges, roads);Slightly Damaged;Gorontalo;Kota Gorontalo;0.5333333;123.0666667;2021;0
Land;School/University Building;933074536594;Not Yet Used;Agricultural Land;Well Maintained;Sulawesi Barat;Kabupaten Majene;-3.0297251;118.9062794;2021;102638199025
Land;Sports Facilities (Stadium, Sports Field);1189967429966;Used for Operations;Agricultural Land;Severely Damaged;Sulawesi Barat;Kabupaten Polewali Mandar;-3.3419323;119.1390642;2021;0
Building;Agricultural Land;1325508417580;Not Yet Used;School/University Building;Slightly Damaged;Sulawesi Barat;Kabupaten Mamasa;-2.960135;119.368202;2021;159061010110
Building;Unused Vacant Land;1141223871957;Used for Functional Vehicles;Hospital/Clinic;Severely Damaged;Sulawesi Barat;Kabupaten Mamuju;-2.7293364;118.9295737;2021;0
Land;Monument or Historical Building;558792362033;Used for Operations;School/University Building;Severely Damaged;Sulawesi Barat;Kabupaten Mamuju Utara;-1.5264542;119.5107708;2021;0
Land;Public Facilities (Park, Field);979707785701;Used for Operations;Government Office Building;Well Maintained;Maluku;Kabupaten Maluku Tenggara Barat;-7.5322642;131.3611121;2021;0
Land;Official Residence;1088581609014;Used According to Procedure;Infrastructure (e.g., bridges, roads);Needs Repair;Maluku;Kabupaten Maluku Tenggara;-5.7512455;132.7271587;2021;0
Land;Hospital/Clinic;784630482707;Not Yet Used;Plantation Land;Needs Repair;Maluku;Kabupaten Maluku Tengah;-3.0166501;129.4864411;2021;86309353098
Land;Warehouse/Logistics;1101075801335;Used for Operations;Monument or Historical Building;Well Maintained;Maluku;Kabupaten Buru Selatan;-3.3927754;126.7819505;2021;0
Building;Government Office Building;1395116387155;Used for Operations;Infrastructure (e.g., bridges, roads);Severely Damaged;Maluku;Kabupaten Kepulauan Aru;-6.1946502;134.5501935;2021;0
Land;Hospital/Clinic;1097364682200;Used According to Procedure;Agricultural Land;Needs Repair;Maluku;Kabupaten Seram Bagian Barat;-3.1271575;128.4008357;2021;0
Land;School/University Building;515648813823;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Needs Repair;Maluku;Kabupaten Seram Bagian Timur;-3.4150761;130.390488;2021;0
Land;Hospital/Clinic;1010342145499;Used for Functional Vehicles;Infrastructure (e.g., bridges, roads);Well Maintained;Maluku;Kota Ambon;-3.65607;128.166419;2021;0
Land;Official Residence;781456888986;Used by Other Parties;Hospital/Clinic;Needs Repair;Maluku;Kota Tual;-5.640851;132.7475093;2021;0
Land;Government Office Building;1030383684023;Used for Operations;School/University Building;Well Maintained;Maluku Utara;Kabupaten Halmahera Barat;1.3121235;128.4849923;2021;0
Building;Government Office Building;1219473145034;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Maluku Utara;Kabupaten Halmahera Tengah;1.3121235;128.4849923;2021;146336777404
Land;Agricultural Land;616718812932;Not Used/Abandoned;Government Office Building;Needs Repair;Maluku Utara;Kabupaten Kepulauan Sula;-1.8666667;125.3666667;2021;92507821940
Land;Official Residence;531149748764;Used for Functional Vehicles;Agricultural Land;Slightly Damaged;Maluku Utara;Kabupaten Halmahera Selatan;1.3121235;128.4849923;2021;0
Building;Unused Vacant Land;1487054533301;Used by Other Parties;Agricultural Land;Needs Repair;Maluku Utara;Kabupaten Halmahera Utara;1.3121235;128.4849923;2021;0
Building;Plantation Land;671520111206;Used by Other Parties;Government Office Building;Well Maintained;Maluku Utara;Kabupaten Halmahera Timur;1.3121235;128.4849923;2021;0
Land;Hospital/Clinic;1358511900737;Not Used/Abandoned;Plantation Land;Slightly Damaged;Maluku Utara;Kota Ternate;0.7833333;127.3666667;2021;190191666103
Building;Hospital/Clinic;766766667939;Not Used/Abandoned;Government Office Building;Well Maintained;Maluku Utara;Kota Tidore Kepulauan;0.6833333;127.4;2021;107347333511
Building;Government Office Building;1067712053508;Not Used/Abandoned;Hospital/Clinic;Well Maintained;Papua;Kabupaten Fakfak;-2.885237;132.2658282;2021;117448325886
Land;Warehouse/Logistics;833309601684;Not Used/Abandoned;School/University Building;Slightly Damaged;Papua;Kabupaten Kaimana;-3.660925;133.774506;2021;91664056185
Land;Public Facilities (Park, Field);685300095714;Not Yet Used;Warehouse/Logistics;Slightly Damaged;Papua;Kabupaten Teluk Wondama;-2.8551699;134.3236557;2021;95942013400
Building;Public Facilities (Park, Field);963439421587;Not Used/Abandoned;Warehouse/Logistics;Slightly Damaged;Papua;Kabupaten Teluk Bintuni;-1.9056848;133.329466;2021;105978336375
Land;School/University Building;1281237175277;Not Used/Abandoned;School/University Building;Slightly Damaged;Papua;Kabupaten Manokwari;-0.8614531;134.0620421;2021;153748461033
Land;Agricultural Land;1262249089023;Not Yet Used;Infrastructure (e.g., bridges, roads);Needs Repair;Papua;Kabupaten Sorong Selatan;-0.8666667;131.25;2021;164092381573
Building;Official Residence;1214575400224;Used for Functional Vehicles;Monument or Historical Building;Slightly Damaged;Papua;Kota Sorong;-0.8666667;131.25;2021;0
Land;Agricultural Land;1378526745104;Used for Functional Vehicles;Monument or Historical Building;Needs Repair;Papua;Kabupaten Raja Ampat;-1.0915151;130.8778586;2021;0
Building;Plantation Land;739462658399;Used for Operations;Monument or Historical Building;Well Maintained;Papua;Kabupaten Sorong;-0.8666667;131.25;2021;0
Land;School/University Building;876822763451;Not Yet Used;Hospital/Clinic;Needs Repair;Papua;Kabupaten Merauke;-8.4960406;140.3945527;2021;113986959249
Building;Unused Vacant Land;689834415144;Not Used/Abandoned;Agricultural Land;Slightly Damaged;Papua;Kabupaten Jayawijaya;-4.0004481;138.7995122;2021;89678473969
Building;Warehouse/Logistics;820441036991;Used According to Procedure;Monument or Historical Building;Severely Damaged;Papua;Kabupaten Jayapura;-2.533;140.717;2021;0
Building;Monument or Historical Building;721772990539;Used for Operations;Agricultural Land;Needs Repair;Papua;Kabupaten Nabire;-3.5095462;135.7520985;2021;0
Land;Plantation Land;536220727567;Used According to Procedure;Warehouse/Logistics;Needs Repair;Papua;Kabupaten Kepulauan Yapen;-1.7469359;136.1709012;2021;0
Building;Monument or Historical Building;1419350293884;Not Yet Used;Hospital/Clinic;Well Maintained;Papua;Kabupaten Biak Numfor;-1.0381022;135.9800848;2021;184515538205
Land;Hospital/Clinic;1265697302617;Used by Other Parties;Monument or Historical Building;Well Maintained;Papua;Kabupaten Paniai;-3.7876441;136.3624686;2021;0
Land;Warehouse/Logistics;802757101294;Used by Other Parties;Hospital/Clinic;Needs Repair;Papua;Kabupaten Puncak Jaya;-4.0836111;137.1847222;2021;0
Land;Agricultural Land;1139182292867;Used for Operations;Agricultural Land;Slightly Damaged;Papua;Kabupaten Mimika;-4.4553223;137.1362125;2021;0
Land;Official Residence;499339282386;Used for Functional Vehicles;Warehouse/Logistics;Severely Damaged;Papua;Kabupaten Boven Digoel;-5.7400018;140.3481835;2021;0
Building;Government Office Building;1254508072302;Not Yet Used;School/University Building;Severely Damaged;Papua;Kabupaten Mappi;-7.102232;139.396393;2021;125450807230
Land;Sports Facilities (Stadium, Sports Field);1023868761677;Used According to Procedure;Government Office Building;Slightly Damaged;Papua;Kabupaten Asmat;-5.0573958;138.3988186;2021;0
Building;Plantation Land;625281089235;Used According to Procedure;Monument or Historical Building;Slightly Damaged;Papua;Kabupaten Yahukimo;-4.4939717;139.5279996;2021;0
Land;Sports Facilities (Stadium, Sports Field);881158651415;Used for Operations;School/University Building;Slightly Damaged;Papua;Kabupaten Pegunungan Bintang;-4.5589872;140.5135589;2021;0
Building;School/University Building;604986393222;Used for Operations;Public Facilities (e.g., park, field);Severely Damaged;Papua;Kabupaten Tolikara;-3.481132;138.4787258;2021;0
Land;Public Facilities (Park, Field);1035912061403;Not Yet Used;Agricultural Land;Needs Repair;Papua;Kabupaten Sarmi;-1.868727;138.743607;2021;124309447368
Land;Plantation Land;776222910242;Used by Other Parties;Public Facilities (e.g., park, field);Needs Repair;Papua;Kabupaten Keerom;-3.3449536;140.7624493;2021;0
Land;Plantation Land;1176733190485;Used for Operations;Warehouse/Logistics;Slightly Damaged;Papua;Kabupaten Waropen;-2.8435717;136.670534;2021;0
Land;Hospital/Clinic;1418286352158;Not Yet Used;Hospital/Clinic;Well Maintained;Papua;Kabupaten Supiori;-0.7295099;135.6385125;2021;184377225781
Land;Sports Facilities (Stadium, Sports Field);538489708774;Used by Other Parties;Agricultural Land;Severely Damaged;Papua;Kabupaten Mamberamo Raya;-2.5331255;137.7637565;2021;0
Land;Agricultural Land;828614815163;Used for Functional Vehicles;Government Office Building;Slightly Damaged;Papua;Kota Jayapura;-2.533;140.717;2021;0
Land;Warehouse/Logistics;962527047561;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Sumatera Utara;Kabupaten Labuhanbatu Utara;2.3465638;99.8124935;2021;134753786659
Land;Agricultural Land;1216934608026;Used for Functional Vehicles;Hospital/Clinic;Slightly Damaged;Sumatera Utara;Kabupaten Labuhanbatu Selatan;1.8799353;100.1703257;2021;0
Building;Unused Vacant Land;677442983569;Used for Functional Vehicles;Hospital/Clinic;Severely Damaged;Sumatera Utara;Kabupaten Nias Utara;1.1255279;97.5247243;2021;0
Land;Public Facilities (Park, Field);705897679138;Used According to Procedure;Infrastructure (e.g., bridges, roads);Severely Damaged;Sumatera Utara;Kabupaten Nias Barat;1.1255279;97.5247243;2021;0
Land;Government Office Building;645205311242;Used for Functional Vehicles;Government Office Building;Well Maintained;Sumatera Utara;Kota Gunungsitoli;1.281964;97.61594;2021;0
Land;Public Facilities (Park, Field);683723795684;Not Yet Used;School/University Building;Severely Damaged;Riau;Kabupaten Kepulauan Meranti;0.9208765;102.6675575;2021;95721331396
Building;Official Residence;769674446743;Used for Operations;Government Office Building;Severely Damaged;Jambi;Kota Sungai Penuh;-2.06314;101.387199;2021;0
Building;Government Office Building;1483366337864;Used by Other Parties;Plantation Land;Severely Damaged;Bengkulu;Kabupaten Bengkulu Tengah;-3.7955556;102.2591667;2021;0
Building;Public Facilities (Park, Field);538033338626;Not Yet Used;Plantation Land;Well Maintained;Lampung;Kabupaten Tulangbawang Barat;-4.5256967;105.0791228;2021;64564000635
Building;Official Residence;763155196036;Used by Other Parties;Infrastructure (e.g., bridges, roads);Severely Damaged;Lampung;Kabupaten Pringsewu;-5.3539884;104.9622498;2021;0
Land;Sports Facilities (Stadium, Sports Field);915534306957;Used for Operations;Plantation Land;Needs Repair;Lampung;Kabupaten Mesuji;-4.0044783;105.3131185;2021;0
Land;Public Facilities (Park, Field);1425089649505;Used According to Procedure;Warehouse/Logistics;Severely Damaged;Kepulauan Riau;Kabupaten Lingga;-0.1627686;104.6354631;2021;0
Land;Government Office Building;767282327347;Used for Operations;Hospital/Clinic;Slightly Damaged;Kepulauan Riau;3.1055459;105.6537231;Kabupaten Anambas;2021;0
Building;Warehouse/Logistics;841966304303;Used for Operations;School/University Building;Severely Damaged;DI Yogyakarta;-7.716165;110.335403;Kabupaten Sleman;2021;0
Land;Agricultural Land;1003251639133;Used for Operations;Public Facilities (e.g., park, field);Severely Damaged;Banten;-6.2888889;106.7180556;Kota Tangerang Selatan;2021;0
Land;Hospital/Clinic;563048048193;Not Used/Abandoned;Plantation Land;Needs Repair;Nusa Tenggara Barat;-8.3739076;116.2777073;Kabupaten Lombok Utara;2021;78826726747
Building;Warehouse/Logistics;586358488321;Used by Other Parties;Plantation Land;Slightly Damaged;Nusa Tenggara Timur;-10.5541116;121.8334868;Kabupaten Sabu Raijua;2021;0
Land;Unused Vacant Land;681421940282;Not Used/Abandoned;Hospital/Clinic;Severely Damaged;Sulawesi Utara;0.7152651;124.4641848;Kabupaten Bolang Mongondow Timur;2021;68142194028
Building;Public Facilities (Park, Field);757048542724;Used for Operations;Government Office Building;Needs Repair;Sulawesi Utara;0.4053215;123.8411288;Kabupaten Bolang Mongondow Selatan;2021;0
Land;Hospital/Clinic;1012149921527;Not Yet Used;Government Office Building;Needs Repair;Sulawesi Tengah;-1.3834127;120.0665236;Kabupaten Sigi;2021;141700989014
Land;Hospital/Clinic;1028618940249;Used for Functional Vehicles;Hospital/Clinic;Severely Damaged;Sulawesi Selatan;-2.8621942;119.8352303;Kabupaten Toraja Utara;2021;0
Building;Warehouse/Logistics;1255023142698;Used for Functional Vehicles;School/University Building;Needs Repair;Maluku;-7.7851588;126.3498097;Kabupaten Maluku Barat Daya;2021;0
Building;Plantation Land;944393467847;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Severely Damaged;Maluku;-3.3927754;126.7819505;Kabupaten Buru;2021;141659020177
Land;Government Office Building;1196898314980;Not Yet Used;Hospital/Clinic;Slightly Damaged;Maluku;2.3656672;128.4008357;Kabupaten Pulau Morota;2021;119689831498
